le_id,sub_prof_id,client_id,account_number,lend_type,lend_type_description,account_type,product,product_type,dr_cr_indicator,portfolio_id,purpose_code,outstanding_amount,sanctioned_amount,interest_rate_pct,account_open_date,maturity_date,mth_end,src,cty
LE001,SP001,C100245,SC358633898,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,HOUSING LOAN - COMMERCIAL,82708,92826,1.04,2024-01-31,2032-10-29,2024-12-31,ACB,SG
LE001,SP001,C100784,OC237859287,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SC,ACQUISITION FINANCING,291304,343024,6.1,2018-01-21,2031-08-08,2024-12-31,ACB,SG
LE001,SP001,C100987,OC679064766,600,600 SCB Direct,Loan,REVOLVING,L,DR,SI,LEFS-COMMERCIAL MACHINERY LOAN (HP),70317,74665,7.04,2017-07-28,2031-01-16,2024-12-31,ACB,SG
LE001,SP001,C100448,UB229927269,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SA,INDUSTRIAL PROPERTY LOAN - SME,36020,43941,1.44,2024-08-15,2029-06-08,2024-12-31,ACB,SG
LE001,SP001,C100602,OC107721109,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SJ,COMMODITY MURABAHA-CLASSIC,53834,66713,6.11,2024-07-04,2030-07-24,2024-12-31,ACB,SG
LE001,SP001,C100072,OC399012686,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SJ,IJARAH,375042,397286,4.31,2018-06-16,2032-02-27,2024-12-31,ACB,SG
LE001,SP001,C100248,UB967043303,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SA,COMMODITY MURABAHA-CLASSIC,233663,263811,6.33,2017-06-20,2031-09-09,2024-12-31,ACB,SG
LE001,SP001,C100362,UB541417711,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,OTHER LOAN PURPOSES,726093,775203,4.46,2020-05-05,2030-08-29,2024-12-31,ACB,SG
LE001,SP001,C100819,SC366992705,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SI,WORKING CAPITAL,11852,13800,1.18,2020-02-16,2028-11-29,2024-12-31,ACB,SG
LE001,SP001,C100285,UB368227631,600,600 SCB Direct,Loan,TERM,L,DR,SA,OTHER LOAN PURPOSES,39389,47601,4.56,2017-07-18,2027-01-08,2024-12-31,ACB,SG
LE001,SP001,C100992,SC909134796,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SI,TEMPORARY BRIDGING LOAN,130656,139987,3.87,2019-06-18,2029-04-02,2024-12-31,ACB,SG
LE001,SP001,C100885,UB162959284,600,600 SCB Direct,Loan,TERM,L,DR,SA,STRUCTURED TRADE FINANCE,73920,84915,1.54,2021-11-19,2031-12-16,2024-12-31,ACB,SG
LE001,SP001,C100292,UB847959430,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SJ,COMMERCIAL PROPERTY LOAN - SME,72511,79787,7.51,2022-06-02,2027-07-06,2024-12-31,ACB,SG
LE001,SP001,C100593,SC903132646,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,HOUSING LOAN - RESIDENTIAL,268726,330972,7.1,2019-07-07,2032-06-29,2024-12-31,ACB,SG
LE001,SP001,C100941,OC161073976,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SA,HOUSING LOAN - RESIDENTIAL,95821,105657,7.25,2024-02-05,2029-06-29,2024-12-31,ACB,SG
LE001,SP001,C100413,SC711684318,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,STRUCTURED TRADE FINANCE,641690,664220,7.27,2017-06-27,2032-09-19,2024-12-31,ACB,SG
LE001,SP001,C100323,DB319321646,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SC,STRUCTURED TRADE FINANCE,80655,85940,2.6,2023-05-23,2030-03-21,2024-12-31,ACB,SG
LE001,SP001,C100468,DB907308348,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,HOUSING LOAN - RESIDENTIAL,581713,615679,7.03,2018-07-18,2027-12-23,2024-12-31,ACB,SG
LE001,SP001,C100075,OC643189555,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SC,COMMODITY MURABAHA-CLASSIC,163589,171264,3.92,2022-02-13,2030-12-31,2024-12-31,ACB,SG
LE001,SP001,C100291,OC570497096,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SC,LEFS-COMMERCIAL MACHINERY LOAN (HP),109588,115925,3.36,2023-09-12,2028-05-12,2024-12-31,ACB,SG
LE001,SP001,C100270,SC214929002,600,600 SCB Direct,Loan,REVOLVING,L,DR,SC,HOUSING LOAN - RESIDENTIAL,138512,149705,4.63,2022-07-01,2030-09-13,2024-12-31,ACB,SG
LE001,SP001,C100208,DB642678844,801,801 Provisions,Loan,REVOLVING,L,DR,SA,COMMODITY MURABAHA-CLASSIC,63382,81179,7.8,2017-09-29,2031-08-09,2024-12-31,ACB,SG
LE001,SP001,C100849,DB147337803,600,600 SCB Direct,Loan,REVOLVING,L,DR,SJ,LEFS-COMMERCIAL MACHINERY LOAN (HP),23890,24016,2.99,2021-12-03,2028-08-31,2024-12-31,ACB,SG
LE001,SP001,C100759,UB692362342,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,COMMODITY MURABAHA-CLASSIC,180294,195893,4.52,2017-02-09,2028-07-11,2024-12-31,ACB,SG
LE001,SP001,C100558,SC996139578,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SI,WORKING CAPITAL,134274,142371,2.01,2024-05-22,2030-04-24,2024-12-31,ACB,SG
LE001,SP001,C100373,SC484194737,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SA,INDUSTRIAL PROPERTY LOAN - SME,228621,228958,2.69,2016-02-10,2031-05-31,2024-12-31,ACB,SG
LE001,SP001,C100997,OC354194771,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SI,OTHER LOAN PURPOSES,510335,587082,2.66,2022-11-06,2030-07-31,2024-12-31,ACB,SG
LE001,SP001,C100801,UB961393416,600,600 SCB Direct,Loan,REVOLVING,L,DR,SJ,COF MORTGAGE LOAN,72996,93201,5.43,2016-12-29,2028-01-25,2024-12-31,ACB,SG
LE001,SP001,C100391,SC605399561,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SI,INDUSTRIAL PROPERTY LOAN - SME,292686,420909,1.63,2021-06-08,2029-05-29,2024-12-31,ACB,SG
LE001,SP001,C100228,SC808705238,600,600 SCB Direct,Loan,TERM,L,DR,SC,COMMERCIAL PROPERTY LOAN - SME,99366,117712,2.31,2024-01-30,2029-12-26,2024-12-31,ACB,SG
LE001,SP001,C100359,UB829627019,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,COMMERCIAL PROPERTY LOAN - SME,179809,197914,5.74,2022-11-09,2029-10-31,2024-12-31,ACB,SG
LE001,SP001,C100039,SC740563507,801,801 Provisions,Loan,REVOLVING,L,DR,SC,STRUCTURED TRADE FINANCE,164249,176256,2.59,2018-01-22,2032-08-03,2024-12-31,ACB,SG
LE001,SP001,C100118,UB719106699,600,600 SCB Direct,Loan,REVOLVING,L,DR,SA,IJARAH,56257,61585,5.84,2019-12-20,2026-11-15,2024-12-31,ACB,SG
LE001,SP001,C100532,OC491079829,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SC,HOUSING LOAN - RESIDENTIAL,302715,312458,1.96,2021-05-04,2028-04-02,2024-12-31,ACB,SG
LE001,SP001,C100737,DB644518647,801,801 Provisions,Loan,TERM,L,DR,SC,STRUCTURED TRADE FINANCE,74365,79155,7.47,2017-01-15,2030-03-04,2024-12-31,ACB,SG
LE001,SP001,C100567,OC305986733,801,801 Provisions,Loan,TERM,L,DR,SJ,HOUSING LOAN - RESIDENTIAL,113920,126590,5.62,2018-06-23,2030-03-25,2024-12-31,ACB,SG
LE001,SP001,C100415,SC426283245,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SI,COF MORTGAGE LOAN,204323,257738,4.71,2018-05-10,2030-06-20,2024-12-31,ACB,SG
LE001,SP001,C100476,UB574765466,600,600 SCB Direct,Loan,TERM,L,DR,SJ,LEFS-COMMERCIAL MACHINERY LOAN (HP),117654,122498,7.28,2023-11-28,2030-01-14,2024-12-31,ACB,SG
LE001,SP001,C100527,DB200273738,600,600 SCB Direct,Loan,REVOLVING,L,DR,SJ,COF MORTGAGE LOAN,211056,244057,3.37,2022-08-17,2028-07-04,2024-12-31,ACB,SG
LE001,SP001,C100025,SC362897676,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,STRUCTURED TRADE FINANCE,596835,700343,7.28,2017-10-18,2029-01-13,2024-12-31,ACB,SG
LE001,SP001,C100735,UB630833445,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SJ,LEFS-COMMERCIAL MACHINERY LOAN (HP),209084,223571,5.49,2017-02-23,2026-12-01,2024-12-31,ACB,SG
LE001,SP001,C100914,SC935822550,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SJ,COF MORTGAGE LOAN,204084,238672,1.06,2017-01-20,2032-08-30,2024-12-31,ACB,SG
LE001,SP001,C100475,SC698509918,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,WORKING CAPITAL,218179,249350,1.04,2015-11-15,2032-01-25,2024-12-31,ACB,SG
LE001,SP001,C100683,DB910943524,801,801 Provisions,Loan,TERM,L,DR,SI,WORKING CAPITAL,193848,241024,5.84,2016-07-08,2032-03-06,2024-12-31,ACB,SG
LE001,SP001,C100460,DB907214179,600,600 SCB Direct,Loan,REVOLVING,L,DR,SI,LEFS-COMMERCIAL MACHINERY LOAN (HP),49448,55941,5.99,2022-03-06,2029-12-07,2024-12-31,ACB,SG
LE001,SP001,C100450,SC866162966,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SC,INDUSTRIAL PROPERTY LOAN - SME,76789,94149,6.23,2021-04-10,2027-10-05,2024-12-31,ACB,SG
LE001,SP001,C100141,OC348315126,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SJ,COMMODITY MURABAHA-CLASSIC,426503,461713,5.6,2020-03-16,2031-06-05,2024-12-31,ACB,SG
LE001,SP001,C100338,UB546434187,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SI,STRUCTURED TRADE FINANCE,68347,70340,3.57,2016-03-23,2027-01-28,2024-12-31,ACB,SG
LE001,SP001,C100877,UB612153089,600,600 SCB Direct,Loan,REVOLVING,L,DR,SC,COF MORTGAGE LOAN,66868,77778,7.81,2020-06-26,2031-07-22,2024-12-31,ACB,SG
LE001,SP001,C100551,OC624232414,600,600 SCB Direct,Loan,REVOLVING,L,DR,SI,TEMPORARY BRIDGING LOAN,391865,410642,5.42,2024-07-14,2031-03-20,2024-12-31,ACB,SG
LE001,SP001,C100344,UB877583839,600,600 SCB Direct,Loan,TERM,L,DR,SJ,HOUSING LOAN - RESIDENTIAL,164884,212816,5.04,2018-11-14,2027-02-27,2024-12-31,ACB,SG
LE001,SP001,C100928,UB735540030,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,WORKING CAPITAL,39878,40153,6.06,2019-09-06,2028-11-22,2024-12-31,ACB,SG
LE001,SP001,C100051,DB507059676,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SI,INDUSTRIAL PROPERTY LOAN - SME,55776,61158,7.58,2021-01-27,2031-02-08,2024-12-31,ACB,SG
LE001,SP001,C100284,UB370874491,600,600 SCB Direct,Loan,TERM,L,DR,SA,IJARAH,143755,165040,7.77,2018-10-23,2027-06-10,2024-12-31,ACB,SG
LE001,SP001,C100974,DB340756713,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,COMMERCIAL MACHINERY LOAN (HP),69787,90930,6.96,2022-08-16,2027-01-31,2024-12-31,ACB,SG
LE001,SP001,C100636,OC356135680,600,600 SCB Direct,Loan,TERM,L,DR,SA,HOUSING LOAN - RESIDENTIAL,64469,71083,4.9,2022-06-01,2032-01-26,2024-12-31,ACB,SG
LE001,SP001,C100716,DB923450567,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SA,COF MORTGAGE LOAN,193528,208441,4.99,2023-01-09,2030-05-06,2024-12-31,ACB,SG
LE001,SP001,C100110,SC434961542,801,801 Provisions,Loan,TERM,L,DR,SJ,COMMODITY MURABAHA-CLASSIC,205038,238210,7.93,2018-03-21,2029-07-30,2024-12-31,ACB,SG
LE001,SP001,C100104,DB834717549,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SC,ACQUISITION FINANCING,172509,211943,7.14,2020-01-21,2031-01-04,2024-12-31,ACB,SG
LE001,SP001,C100070,DB113585139,801,801 Provisions,Loan,TERM,L,DR,SA,STRUCTURED TRADE FINANCE,389433,472475,5.92,2020-10-18,2032-01-05,2024-12-31,ACB,SG
LE001,SP001,C100724,OC567600762,600,600 SCB Direct,Loan,REVOLVING,L,DR,SI,TEMPORARY BRIDGING LOAN,41041,48738,6.67,2019-12-22,2029-11-12,2024-12-31,ACB,SG
LE001,SP001,C100330,OC991990632,600,600 SCB Direct,Loan,REVOLVING,L,DR,SI,COMMERCIAL MACHINERY LOAN (HP),220675,232026,7.39,2016-06-11,2032-01-25,2024-12-31,ACB,SG
LE001,SP001,C100583,UB461203124,600,600 SCB Direct,Loan,TERM,L,DR,SC,WORKING CAPITAL,272405,482305,6.59,2019-05-23,2029-03-26,2024-12-31,ACB,SG
LE001,SP001,C100363,DB465436049,801,801 Provisions,Loan,REVOLVING,L,DR,SA,ACQUISITION FINANCING,615925,737656,6.57,2022-09-19,2027-10-25,2024-12-31,ACB,SG
LE001,SP001,C100247,UB624606470,600,600 SCB Direct,Loan,TERM,L,DR,SI,TEMPORARY BRIDGING LOAN,118744,136768,3.63,2015-12-20,2027-01-18,2024-12-31,ACB,SG
LE001,SP001,C100095,DB337937327,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SC,LEFS-COMMERCIAL MACHINERY LOAN (HP),191956,224816,1.25,2018-05-03,2030-12-29,2024-12-31,ACB,SG
LE001,SP001,C100484,DB556881239,801,801 Provisions,Loan,REVOLVING,L,DR,SI,COMMERCIAL PROPERTY LOAN - SME,1647317,2262512,3.01,2021-06-03,2029-09-03,2024-12-31,ACB,SG
LE001,SP001,C100236,SC874473159,600,600 SCB Direct,Loan,REVOLVING,L,DR,SA,IJARAH,107523,109247,1.26,2018-11-07,2028-12-06,2024-12-31,ACB,SG
LE001,SP001,C100196,OC893070706,801,801 Provisions,Loan,REVOLVING,L,DR,SC,COMMODITY MURABAHA-CLASSIC,101525,123636,1.89,2022-09-06,2030-03-06,2024-12-31,ACB,SG
LE001,SP001,C100232,DB292673892,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SJ,COMMERCIAL PROPERTY LOAN - SME,774815,794735,2.51,2024-05-07,2027-06-20,2024-12-31,ACB,SG
LE001,SP001,C100566,DB848846217,600,600 SCB Direct,Loan,TERM,L,DR,SA,HOUSING LOAN - COMMERCIAL,78404,81798,1.36,2024-09-20,2030-01-16,2024-12-31,ACB,SG
LE001,SP001,C100480,UB572949775,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SA,COMMERCIAL PROPERTY LOAN - SME,1774511,2428742,5.46,2019-07-03,2028-02-19,2024-12-31,ACB,SG
LE001,SP001,C100841,SC530256336,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,WORKING CAPITAL,21479,22279,6.57,2023-03-09,2030-04-06,2024-12-31,ACB,SG
LE001,SP001,C100087,OC227186396,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SI,TEMPORARY BRIDGING LOAN,104349,139183,1.55,2019-11-23,2030-03-10,2024-12-31,ACB,SG
LE001,SP001,C100880,UB427899537,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SJ,LEFS-COMMERCIAL MACHINERY LOAN (HP),269678,316373,3.86,2022-06-29,2029-10-27,2024-12-31,ACB,SG
LE001,SP001,C100676,SC268638768,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SA,WORKING CAPITAL,116512,123918,2.75,2024-10-30,2031-06-09,2024-12-31,ACB,SG
LE001,SP001,C100461,UB412737284,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SC,IJARAH,951175,1028216,5.62,2021-09-08,2031-12-12,2024-12-31,ACB,SG
LE001,SP001,C100072,OC384063364,600,600 SCB Direct,Loan,TERM,L,DR,SA,ACQUISITION FINANCING,237351,315740,5.28,2022-05-04,2028-07-11,2024-12-31,ACB,SG
LE001,SP001,C100930,DB987588450,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,WORKING CAPITAL,35618,39067,3.49,2015-12-21,2030-04-21,2024-12-31,ACB,SG
LE001,SP001,C100609,DB571537429,600,600 SCB Direct,Loan,TERM,L,DR,SC,IJARAH,128361,176419,1.68,2020-05-06,2029-11-28,2024-12-31,ACB,SG
LE001,SP001,C100512,UB570040006,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,IJARAH,6366,7670,2.21,2021-03-30,2029-08-30,2024-12-31,ACB,SG
LE001,SP001,C100026,SC345805719,600,600 SCB Direct,Loan,REVOLVING,L,DR,SA,COF MORTGAGE LOAN,22137,27893,5.31,2016-05-18,2028-10-26,2024-12-31,ACB,SG
LE001,SP001,C100481,UB398668350,600,600 SCB Direct,Loan,TERM,L,DR,SI,COMMODITY MURABAHA-CLASSIC,104815,107555,3.62,2019-08-03,2030-10-04,2024-12-31,ACB,SG
LE001,SP001,C100418,DB444733679,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SC,STRUCTURED TRADE FINANCE,172561,253595,7,2017-01-29,2032-05-30,2024-12-31,ACB,SG
LE001,SP001,C100295,UB973559879,600,600 SCB Direct,Loan,TERM,L,DR,SA,INDUSTRIAL PROPERTY LOAN - SME,60991,66627,1.49,2022-01-11,2030-06-25,2024-12-31,ACB,SG
LE001,SP001,C100118,UB652543518,600,600 SCB Direct,Loan,TERM,L,DR,SI,OTHER LOAN PURPOSES,132925,134543,5.1,2022-10-03,2032-09-01,2024-12-31,ACB,SG
LE001,SP001,C100370,UB771527524,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SJ,COMMERCIAL PROPERTY LOAN - SME,182319,206462,3.72,2018-09-13,2028-04-28,2024-12-31,ACB,SG
LE001,SP001,C100949,DB570423569,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,LEFS-COMMERCIAL MACHINERY LOAN (HP),87980,125130,4.82,2018-01-12,2029-07-16,2024-12-31,ACB,SG
LE001,SP001,C100726,OC433665422,600,600 SCB Direct,Loan,TERM,L,DR,SA,COMMERCIAL MACHINERY LOAN (HP),139834,156287,7.73,2023-08-03,2032-01-12,2024-12-31,ACB,SG
LE001,SP001,C100969,SC795472980,600,600 SCB Direct,Loan,TERM,L,DR,SC,ACQUISITION FINANCING,100064,104218,3.23,2016-12-12,2029-12-02,2024-12-31,ACB,SG
LE001,SP001,C100425,UB607042130,600,600 SCB Direct,Loan,TERM,L,DR,SJ,STRUCTURED TRADE FINANCE,90276,105615,1.83,2022-09-21,2032-07-21,2024-12-31,ACB,SG
LE001,SP001,C100764,OC174958005,801,801 Provisions,Loan,TERM,L,DR,SC,COF MORTGAGE LOAN,421683,544186,7.14,2019-03-02,2029-11-07,2024-12-31,ACB,SG
LE001,SP001,C100840,SC403696046,801,801 Provisions,Loan,TERM,L,DR,SJ,TEMPORARY BRIDGING LOAN,366906,413108,2.97,2018-10-26,2032-04-14,2024-12-31,ACB,SG
LE001,SP001,C100353,DB692616814,801,801 Provisions,Loan,TERM,L,DR,SC,HOUSING LOAN - COMMERCIAL,282585,322719,6.65,2022-09-29,2029-07-14,2024-12-31,ACB,SG
LE001,SP001,C100585,UB350785761,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SC,IJARAH,159388,163128,3.6,2019-07-22,2031-02-17,2024-12-31,ACB,SG
LE001,SP001,C100395,OC631855083,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SC,HOUSING LOAN - COMMERCIAL,83349,102718,7.52,2023-09-25,2031-10-17,2024-12-31,ACB,SG
LE001,SP001,C100102,UB116479358,600,600 SCB Direct,Loan,TERM,L,DR,SJ,COMMODITY MURABAHA-CLASSIC,130916,159685,6.26,2019-08-05,2029-10-29,2024-12-31,ACB,SG
LE001,SP001,C100346,UB797756796,600,600 SCB Direct,Loan,REVOLVING,L,DR,SI,INDUSTRIAL PROPERTY LOAN - SME,108237,113900,7.32,2017-10-30,2032-04-29,2024-12-31,ACB,SG
LE001,SP001,C100893,SC762992051,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SC,COMMERCIAL MACHINERY LOAN (HP),600476,602998,3.24,2016-06-26,2027-11-14,2024-12-31,ACB,SG
LE001,SP001,C100444,SC916440738,600,600 SCB Direct,Loan,TERM,L,DR,SJ,IJARAH,128126,150009,1.08,2021-07-02,2027-03-07,2024-12-31,ACB,SG
LE001,SP001,C100047,DB954852540,600,600 SCB Direct,Loan,REVOLVING,L,DR,SC,INDUSTRIAL PROPERTY LOAN - SME,225069,230927,7.65,2020-01-11,2028-06-27,2024-12-31,ACB,SG
LE001,SP001,C100250,UB707660630,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SJ,COMMODITY MURABAHA-CLASSIC,1101647,1336347,4.14,2018-01-09,2031-02-22,2024-12-31,ACB,SG
LE001,SP001,C100634,OC634366139,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SI,LEFS-COMMERCIAL MACHINERY LOAN (HP),59514,73966,5.71,2022-01-04,2032-01-04,2024-12-31,ACB,SG
LE001,SP001,C100261,SC963968184,801,801 Provisions,Loan,REVOLVING,L,DR,SJ,COMMODITY MURABAHA-CLASSIC,351750,398677,6.53,2019-11-27,2030-09-24,2024-12-31,ACB,SG
LE001,SP001,C100601,DB786055206,801,801 Provisions,Loan,REVOLVING,L,DR,SI,HOUSING LOAN - COMMERCIAL,160773,189623,1.4,2021-06-21,2029-02-01,2024-12-31,ACB,SG
LE001,SP001,C100393,UB214518079,600,600 SCB Direct,Loan,TERM,L,DR,SC,HOUSING LOAN - RESIDENTIAL,20130,27257,7.21,2021-07-17,2030-03-02,2024-12-31,ACB,SG
LE001,SP001,C100022,UB394721069,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,HOUSING LOAN - COMMERCIAL,71289,75871,2,2021-08-25,2029-06-08,2024-12-31,ACB,SG
LE001,SP001,C100621,DB335154329,600,600 SCB Direct,Loan,REVOLVING,L,DR,SJ,LEFS-COMMERCIAL MACHINERY LOAN (HP),300691,382351,1.71,2023-10-09,2027-04-19,2024-12-31,ACB,SG
LE001,SP001,C100316,UB135824891,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SA,COMMERCIAL PROPERTY LOAN - SME,207932,229013,1.51,2021-03-12,2031-07-07,2024-12-31,ACB,SG
